Country Name,Last,Previous,Reference,Unit,GDP_growth_percentage,GDP_growth_percentage
Algeria,145,171,20-Dec,USD Billion,-5.992,medium fall
Australia,1331,1397,20-Dec,USD Billion,-2.438,short fall
Austria,431,445,20-Dec,USD Billion,-6.59,high fall
"Bahamas, The",11.25,13.58,20-Dec,USD Billion,-16.281,very high fall
Bangladesh,324,303,20-Dec,USD Billion,3.798,medium rise
Belgium,515,533,20-Dec,USD Billion,-6.424,high fall
Belize,1.76,1.98,20-Dec,USD Billion,-14.089,very high fall
Benin,15.65,14.39,20-Dec,USD Billion,1.997,short rise
Bermuda,7.484,,,,-17.3,very high fall
Bolivia,36.69,40.9,20-Dec,USD Billion,-7.7,high fall
Botswana,15.78,18.36,20-Dec,USD Billion,-8.25,high fall
Burkina Faso,17.37,15.99,20-Dec,USD Billion,0.793,short rise
Burundi,3.26,3.01,20-Dec,USD Billion,-1.282,short fall
Cameroon,39.8,39,20-Dec,USD Billion,-2.769,short fall
Canada,1644,1742,20-Dec,USD Billion,-5.403,medium fall
Central African Republic,2.3,2.22,20-Dec,USD Billion,-0.015,short fall
Chad,10.09,11.31,20-Dec,USD Billion,-0.887,short fall
Chile,253,279,20-Dec,USD Billion,-5.841,medium fall
China,14723,14280,20-Dec,USD Billion,2.27,short rise
Colombia,271,323,20-Dec,USD Billion,-6.847,high fall
"Congo, Dem. Rep.",49.87,,,,0.77,short rise
"Congo, Rep.",10.88,12.69,20-Dec,USD Billion,-0.064,short fall
Costa Rica,61.52,63.95,20-Dec,USD Billion,-4.796,medium fall
Cote d'Ivoire,61.35,,,,1.8,short rise
Dominican Republic,78.84,88.94,20-Dec,USD Billion,-6.731,high fall
Ecuador,98.81,108,20-Dec,USD Billion,-7.5,high fall
Eswatini,3.962,,,,-3.342,medium fall
Fiji,4.38,5.5,20-Dec,USD Billion,-19,very high fall
Finland,270,269,20-Dec,USD Billion,-2.893,short fall
France,2630,2729,20-Dec,USD Billion,-8.232,high fall
Gabon,15.59,16.87,20-Dec,USD Billion,-1.757,short fall
Ghana,72.35,67.23,20-Dec,USD Billion,0.88,short rise
Greece,189,205,20-Dec,USD Billion,-8.248,high fall
Guatemala,77.6,77.02,20-Dec,USD Billion,-1.5,short fall
Guyana,5.47,5.17,20-Dec,USD Billion,43.384,very high rise
Haiti,13.42,14.33,20-Dec,USD Billion,-3.7,medium fall
Honduras,23.83,25.09,20-Dec,USD Billion,-8,high fall
"Hong Kong SAR, China",347,366,20-Dec,USD Billion,-6.142,high fall
Iceland,21.71,24.84,20-Dec,USD Billion,-6.649,high fall
India,2623,2870,20-Dec,USD Billion,-7.765,high fall
Ireland,426,399,20-Dec,USD Billion,2.475,short rise
Italy,1886,2005,20-Dec,USD Billion,-8.871,high fall
Jamaica,13.81,15.83,20-Dec,USD Billion,-10.223,very high fall
Japan,4975,5149,20-Dec,USD Billion,-4.83,medium fall
Kenya,98.84,95.5,20-Dec,USD Billion,-0.127,short fall
"Korea, Rep.",1631,138,19-Dec,USD Billion,-0.958,short fall
Lesotho,1.84,2.37,20-Dec,USD Billion,-4.543,medium fall
Luxembourg,73.26,71.1,20-Dec,USD Billion,-1.314,short fall
Madagascar,13.72,14.19,20-Dec,USD Billion,-4.239,medium fall
Malawi,11.96,10.86,20-Dec,USD Billion,0.6,short rise
Malaysia,337,365,20-Dec,USD Billion,-5.588,medium fall
Mexico,1076,1269,20-Dec,USD Billion,-8.239,high fall
Morocco,113,120,20-Dec,USD Billion,-7.021,high fall
Nepal,33.66,34.19,20-Dec,USD Billion,-1.878,short fall
Netherlands,914,910,20-Dec,USD Billion,-3.799,medium fall
Nicaragua,12.62,12.61,20-Dec,USD Billion,-3,short fall
Niger,13.68,12.91,20-Dec,USD Billion,1.2,short rise
Nigeria,432,448,20-Dec,USD Billion,-1.794,short fall
Norway,363,406,20-Dec,USD Billion,-0.762,short fall
Pakistan,264,278,20-Dec,USD Billion,-0.385,short fall
Panama,52.94,66.79,20-Dec,USD Billion,-17.949,very high fall
Papua New Guinea,23.59,24.83,20-Dec,USD Billion,-3.879,medium fall
Peru,202,228,20-Dec,USD Billion,-11.115,very high fall
Philippines,361,377,20-Dec,USD Billion,-9.513,high fall
Portugal,231,240,20-Dec,USD Billion,-7.587,high fall
Puerto Rico,103,105,20-Dec,USD Billion,-7.5,high fall
Rwanda,10.33,10.36,20-Dec,USD Billion,-0.199,short fall
Senegal,24.91,23.31,20-Dec,USD Billion,0.828,short rise
Seychelles,1.12,1.58,20-Dec,USD Billion,-13.359,very high fall
Sierra Leone,3.87,4.12,20-Dec,USD Billion,-2.249,short fall
Singapore,340,374,20-Dec,USD Billion,-5.391,medium fall
South Africa,302,351,20-Dec,USD Billion,-6.96,high fall
Spain,1281,1393,20-Dec,USD Billion,-10.964,very high fall
Sri Lanka,80.71,83.98,20-Dec,USD Billion,-3.569,medium fall
St Kitts and Nevis,0.93,1.04,20-Dec,USD Billion,-18.65,very high fall
St. Vincent And The Grenadines,0.81,0.82,20-Dec,USD Billion,-4.18,medium fall
Sudan,26.11,32.25,20-Dec,USD Billion,-3.63,medium fall
Suriname,3.81,4.22,20-Dec,USD Billion,-13.455,very high fall
Sweden,541,534,20-Dec,USD Billion,-2.818,short fall
Thailand,502,544,20-Dec,USD Billion,-6.087,high fall
Togo,7.57,7.22,20-Dec,USD Billion,0.7,short rise
Trinidad and Tobago,21.53,23.21,20-Dec,USD Billion,-7.832,high fall
Turkey,720,761,20-Dec,USD Billion,1.794,short rise
Uganda,37.37,35.17,20-Dec,USD Billion,-2.104,short fall
United Kingdom,2708,2831,20-Dec,USD Billion,-9.92,high fall
United States,20937,21433,20-Dec,USD Billion,-3.505,medium fall
Uruguay,53.63,61.23,20-Dec,USD Billion,-5.7,medium fall
Zambia,19.32,23.31,20-Dec,USD Billion,-3.497,medium fall
Zimbabwe,16.77,16.93,20-Dec,USD Billion,-8.002,high fall
